student_id,name,age,department,gpa
24576,Student_24576,24,Dept_1,5.5
24577,Student_24577,25,Dept_2,6.0
24578,Student_24578,26,Dept_3,6.5
24579,Student_24579,27,Dept_4,7.0
24580,Student_24580,18,Dept_0,5.0
24581,Student_24581,19,Dept_1,5.5
24582,Student_24582,20,Dept_2,6.0
24583,Student_24583,21,Dept_3,6.5
24584,Student_24584,22,Dept_4,7.0
24585,Student_24585,23,Dept_0,5.0
24586,Student_24586,24,Dept_1,5.5
24587,Student_24587,25,Dept_2,6.0
24588,Student_24588,26,Dept_3,6.5
24589,Student_24589,27,Dept_4,7.0
24590,Student_24590,18,Dept_0,5.0
24591,Student_24591,19,Dept_1,5.5
24592,Student_24592,20,Dept_2,6.0
24593,Student_24593,21,Dept_3,6.5
24594,Student_24594,22,Dept_4,7.0
24595,Student_24595,23,Dept_0,5.0
24596,Student_24596,24,Dept_1,5.5
24597,Student_24597,25,Dept_2,6.0
24598,Student_24598,26,Dept_3,6.5
24599,Student_24599,27,Dept_4,7.0
24600,Student_24600,18,Dept_0,5.0
24601,Student_24601,19,Dept_1,5.5
24602,Student_24602,20,Dept_2,6.0
24603,Student_24603,21,Dept_3,6.5
24604,Student_24604,22,Dept_4,7.0
24605,Student_24605,23,Dept_0,5.0
24606,Student_24606,24,Dept_1,5.5
24607,Student_24607,25,Dept_2,6.0
24608,Student_24608,26,Dept_3,6.5
24609,Student_24609,27,Dept_4,7.0
24610,Student_24610,18,Dept_0,5.0
24611,Student_24611,19,Dept_1,5.5
24612,Student_24612,20,Dept_2,6.0
24613,Student_24613,21,Dept_3,6.5
24614,Student_24614,22,Dept_4,7.0
24615,Student_24615,23,Dept_0,5.0
24616,Student_24616,24,Dept_1,5.5
24617,Student_24617,25,Dept_2,6.0
24618,Student_24618,26,Dept_3,6.5
24619,Student_24619,27,Dept_4,7.0
24620,Student_24620,18,Dept_0,5.0
24621,Student_24621,19,Dept_1,5.5
24622,Student_24622,20,Dept_2,6.0
24623,Student_24623,21,Dept_3,6.5
24624,Student_24624,22,Dept_4,7.0
24625,Student_24625,23,Dept_0,5.0
24626,Student_24626,24,Dept_1,5.5
24627,Student_24627,25,Dept_2,6.0
24628,Student_24628,26,Dept_3,6.5
