student_id,name,age,department,gpa
87040,Student_87040,18,Dept_0,5.0
87041,Student_87041,19,Dept_1,5.5
87042,Student_87042,20,Dept_2,6.0
87043,Student_87043,21,Dept_3,6.5
87044,Student_87044,22,Dept_4,7.0
87045,Student_87045,23,Dept_0,5.0
87046,Student_87046,24,Dept_1,5.5
87047,Student_87047,25,Dept_2,6.0
87048,Student_87048,26,Dept_3,6.5
87049,Student_87049,27,Dept_4,7.0
87050,Student_87050,18,Dept_0,5.0
87051,Student_87051,19,Dept_1,5.5
87052,Student_87052,20,Dept_2,6.0
87053,Student_87053,21,Dept_3,6.5
87054,Student_87054,22,Dept_4,7.0
87055,Student_87055,23,Dept_0,5.0
87056,Student_87056,24,Dept_1,5.5
87057,Student_87057,25,Dept_2,6.0
87058,Student_87058,26,Dept_3,6.5
87059,Student_87059,27,Dept_4,7.0
87060,Student_87060,18,Dept_0,5.0
87061,Student_87061,19,Dept_1,5.5
87062,Student_87062,20,Dept_2,6.0
87063,Student_87063,21,Dept_3,6.5
87064,Student_87064,22,Dept_4,7.0
87065,Student_87065,23,Dept_0,5.0
87066,Student_87066,24,Dept_1,5.5
87067,Student_87067,25,Dept_2,6.0
87068,Student_87068,26,Dept_3,6.5
87069,Student_87069,27,Dept_4,7.0
87070,Student_87070,18,Dept_0,5.0
87071,Student_87071,19,Dept_1,5.5
87072,Student_87072,20,Dept_2,6.0
87073,Student_87073,21,Dept_3,6.5
87074,Student_87074,22,Dept_4,7.0
87075,Student_87075,23,Dept_0,5.0
87076,Student_87076,24,Dept_1,5.5
87077,Student_87077,25,Dept_2,6.0
87078,Student_87078,26,Dept_3,6.5
87079,Student_87079,27,Dept_4,7.0
87080,Student_87080,18,Dept_0,5.0
87081,Student_87081,19,Dept_1,5.5
87082,Student_87082,20,Dept_2,6.0
87083,Student_87083,21,Dept_3,6.5
87084,Student_87084,22,Dept_4,7.0
87085,Student_87085,23,Dept_0,5.0
87086,Student_87086,24,Dept_1,5.5
87087,Student_87087,25,Dept_2,6.0
87088,Student_87088,26,Dept_3,6.5
87089,Student_87089,27,Dept_4,7.0
87090,Student_87090,18,Dept_0,5.0
87091,Student_87091,19,Dept_1,5.5
87092,Student_87092,20,Dept_2,6.0
87093,Student_87093,21,Dept_3,6.5
87094,Student_87094,22,Dept_4,7.0
87095,Student_87095,23,Dept_0,5.0
87096,Student_87096,24,Dept_1,5.5
87097,Student_87097,25,Dept_2,6.0
87098,Student_87098,26,Dept_3,6.5
87099,Student_87099,27,Dept_4,7.0
87100,Student_87100,18,Dept_0,5.0
87101,Student_87101,19,Dept_1,5.5
87102,Student_87102,20,Dept_2,6.0
87103,Student_87103,21,Dept_3,6.5
87104,Student_87104,22,Dept_4,7.0
87105,Student_87105,23,Dept_0,5.0
87106,Student_87106,24,Dept_1,5.5
87107,Student_87107,25,Dept_2,6.0
87108,Student_87108,26,Dept_3,6.5
87109,Student_87109,27,Dept_4,7.0
87110,Student_87110,18,Dept_0,5.0
87111,Student_87111,19,Dept_1,5.5
87112,Student_87112,20,Dept_2,6.0
87113,Student_87113,21,Dept_3,6.5
87114,Student_87114,22,Dept_4,7.0
87115,Student_87115,23,Dept_0,5.0
87116,Student_87116,24,Dept_1,5.5
87117,Student_87117,25,Dept_2,6.0
87118,Student_87118,26,Dept_3,6.5
87119,Student_87119,27,Dept_4,7.0
87120,Student_87120,18,Dept_0,5.0
87121,Student_87121,19,Dept_1,5.5
87122,Student_87122,20,Dept_2,6.0
87123,Student_87123,21,Dept_3,6.5
87124,Student_87124,22,Dept_4,7.0
87125,Student_87125,23,Dept_0,5.0
87126,Student_87126,24,Dept_1,5.5
87127,Student_87127,25,Dept_2,6.0
87128,Student_87128,26,Dept_3,6.5
87129,Student_87129,27,Dept_4,7.0
87130,Student_87130,18,Dept_0,5.0
87131,Student_87131,19,Dept_1,5.5
87132,Student_87132,20,Dept_2,6.0
87133,Student_87133,21,Dept_3,6.5
87134,Student_87134,22,Dept_4,7.0
87135,Student_87135,23,Dept_0,5.0
87136,Student_87136,24,Dept_1,5.5
87137,Student_87137,25,Dept_2,6.0
