student_id,name,age,department,gpa
62464,Student_62464,22,Dept_4,7.0
62465,Student_62465,23,Dept_0,5.0
62466,Student_62466,24,Dept_1,5.5
62467,Student_62467,25,Dept_2,6.0
62468,Student_62468,26,Dept_3,6.5
62469,Student_62469,27,Dept_4,7.0
62470,Student_62470,18,Dept_0,5.0
62471,Student_62471,19,Dept_1,5.5
62472,Student_62472,20,Dept_2,6.0
62473,Student_62473,21,Dept_3,6.5
62474,Student_62474,22,Dept_4,7.0
62475,Student_62475,23,Dept_0,5.0
62476,Student_62476,24,Dept_1,5.5
62477,Student_62477,25,Dept_2,6.0
62478,Student_62478,26,Dept_3,6.5
62479,Student_62479,27,Dept_4,7.0
62480,Student_62480,18,Dept_0,5.0
62481,Student_62481,19,Dept_1,5.5
62482,Student_62482,20,Dept_2,6.0
62483,Student_62483,21,Dept_3,6.5
62484,Student_62484,22,Dept_4,7.0
62485,Student_62485,23,Dept_0,5.0
62486,Student_62486,24,Dept_1,5.5
62487,Student_62487,25,Dept_2,6.0
62488,Student_62488,26,Dept_3,6.5
62489,Student_62489,27,Dept_4,7.0
62490,Student_62490,18,Dept_0,5.0
62491,Student_62491,19,Dept_1,5.5
62492,Student_62492,20,Dept_2,6.0
62493,Student_62493,21,Dept_3,6.5
62494,Student_62494,22,Dept_4,7.0
62495,Student_62495,23,Dept_0,5.0
62496,Student_62496,24,Dept_1,5.5
62497,Student_62497,25,Dept_2,6.0
62498,Student_62498,26,Dept_3,6.5
62499,Student_62499,27,Dept_4,7.0
62500,Student_62500,18,Dept_0,5.0
62501,Student_62501,19,Dept_1,5.5
62502,Student_62502,20,Dept_2,6.0
62503,Student_62503,21,Dept_3,6.5
62504,Student_62504,22,Dept_4,7.0
62505,Student_62505,23,Dept_0,5.0
62506,Student_62506,24,Dept_1,5.5
62507,Student_62507,25,Dept_2,6.0
62508,Student_62508,26,Dept_3,6.5
62509,Student_62509,27,Dept_4,7.0
62510,Student_62510,18,Dept_0,5.0
62511,Student_62511,19,Dept_1,5.5
62512,Student_62512,20,Dept_2,6.0
62513,Student_62513,21,Dept_3,6.5
62514,Student_62514,22,Dept_4,7.0
62515,Student_62515,23,Dept_0,5.0
62516,Student_62516,24,Dept_1,5.5
62517,Student_62517,25,Dept_2,6.0
62518,Student_62518,26,Dept_3,6.5
62519,Student_62519,27,Dept_4,7.0
62520,Student_62520,18,Dept_0,5.0
62521,Student_62521,19,Dept_1,5.5
62522,Student_62522,20,Dept_2,6.0
62523,Student_62523,21,Dept_3,6.5
62524,Student_62524,22,Dept_4,7.0
62525,Student_62525,23,Dept_0,5.0
62526,Student_62526,24,Dept_1,5.5
62527,Student_62527,25,Dept_2,6.0
62528,Student_62528,26,Dept_3,6.5
62529,Student_62529,27,Dept_4,7.0
62530,Student_62530,18,Dept_0,5.0
62531,Student_62531,19,Dept_1,5.5
62532,Student_62532,20,Dept_2,6.0
62533,Student_62533,21,Dept_3,6.5
62534,Student_62534,22,Dept_4,7.0
62535,Student_62535,23,Dept_0,5.0
62536,Student_62536,24,Dept_1,5.5
62537,Student_62537,25,Dept_2,6.0
62538,Student_62538,26,Dept_3,6.5
62539,Student_62539,27,Dept_4,7.0
62540,Student_62540,18,Dept_0,5.0
62541,Student_62541,19,Dept_1,5.5
62542,Student_62542,20,Dept_2,6.0
62543,Student_62543,21,Dept_3,6.5
62544,Student_62544,22,Dept_4,7.0
62545,Student_62545,23,Dept_0,5.0
62546,Student_62546,24,Dept_1,5.5
62547,Student_62547,25,Dept_2,6.0
62548,Student_62548,26,Dept_3,6.5
62549,Student_62549,27,Dept_4,7.0
62550,Student_62550,18,Dept_0,5.0
62551,Student_62551,19,Dept_1,5.5
62552,Student_62552,20,Dept_2,6.0
62553,Student_62553,21,Dept_3,6.5
62554,Student_62554,22,Dept_4,7.0
62555,Student_62555,23,Dept_0,5.0
